"","req_id","src_sys_cd","LT","SubCnt","DistrCnt","RespCnt","CompSubClass","CompDistrClass","WinLose","NTE","SubRt","Sub_NTE","SubTime","SubRank","Result"
"52","1003882                  ","IQN       ","Business Professional",24,26,7,"High","High","0",34.33,70,2.039,1,3,"Shortlist"
"53","1003882                  ","IQN       ","Business Professional",24,26,7,"High","High","0",34.33,70,2.039,1,4,"Submit Only"
"54","1003882                  ","IQN       ","Business Professional",24,26,7,"High","High","0",34.33,70,2.039,1,5,"Shortlist"
"55","1003882                  ","IQN       ","Business Professional",24,26,7,"High","High","0",34.33,55,1.602,1,6,"Submit Only"
"56","1003882                  ","IQN       ","Business Professional",24,26,7,"High","High","0",34.33,70,2.039,4,7,"Shortlist"
"57","1003882                  ","IQN       ","Business Professional",24,26,7,"High","High","0",34.33,68.4,1.992,6,8,"Shortlist"
"58","1003882                  ","IQN       ","Business Professional",24,26,7,"High","High","0",34.33,70,2.039,7,9,"Shortlist"
"59","1003882                  ","IQN       ","Business Professional",24,26,7,"High","High","0",34.33,70,2.039,7,10,"Submit Only"
"60","1003882                  ","IQN       ","Business Professional",24,26,7,"High","High","0",34.33,65,1.893,7,11,"Shortlist"
"61","1003882                  ","IQN       ","Business Professional",24,26,7,"High","High","0",34.33,70,2.039,7,12,"Shortlist"
"62","1003882                  ","IQN       ","Business Professional",24,26,7,"High","High","0",34.33,68,1.981,13,13,"Shortlist"
"63","1003882                  ","IQN       ","Business Professional",24,26,7,"High","High","0",34.33,62,1.806,13,14,"Shortlist"
"64","1003882                  ","IQN       ","Business Professional",24,26,7,"High","High","0",34.33,72,2.097,13,15,"Shortlist"
"65","1003882                  ","IQN       ","Business Professional",24,26,7,"High","High","0",34.33,70,2.039,13,16,"Submit Only"
"66","1003882                  ","IQN       ","Business Professional",24,26,7,"High","High","0",34.33,70,2.039,22,17,"Submit Only"
"67","1003882                  ","IQN       ","Business Professional",24,26,7,"High","High","0",34.33,70,2.039,22,18,"Shortlist"
"68","1003882                  ","IQN       ","Business Professional",24,26,7,"High","High","0",34.33,70,2.039,22,19,"Shortlist"
"69","1003882                  ","IQN       ","Business Professional",24,26,7,"High","High","0",34.33,63,1.835,22,20,"Shortlist"
"70","1003882                  ","IQN       ","Business Professional",24,26,7,"High","High","0",34.33,50,1.456,22,21,"Submit Only"
